Cantidad,Fecha,Producto,Venta,Compra,Utilidad
1.00,,Yoplait Griego Sin Azucar 220g 9529,11.50,9.70,1.80
,21/02/2024,,33.00,26.04,6.96
1.00,,Mini Barritas Piña Tubo 222g,33.00,26.04,6.96
,21/02/2024,,16.00,12.16,3.84
1.00,,Halls extra Strong 25gr 4401,8.00,6.08,1.92
1.00,,Halls Sabor Mora Azul,8.00,6.08,1.92
,21/02/2024,,6.00,0.66,5.34
3.00,,COPIA CREDENCIAL,6.00,0.66,5.34
,21/02/2024,,20.00,15.19,4.81
1.00,,Barritas Fresa Mas Galleta 75g,17.00,13.44,3.56
1.00,,Paleta cupido vero fresa,3.00,1.75,1.25
,21/02/2024,,60.00,51.19,8.81
0.48,,Queso De Hebra,60.00,51.19,8.81
,21/02/2024,,56.00,41.92,14.08
1.00,,Sidral Munded Jumbo 3 Lts,38.00,31.17,6.83
2.00,,Paleta Cupido Chamoy Individual 1pz,3.00,2.00,1.00
5.00,,Paleta cupido vero fresa,15.00,8.75,6.25
,21/02/2024,,567.00,527.37,39.63
12.00,,Envios De Recargas,12.00,0.12,11.88
555.00,,ICSI Recargas Xtreme,555.00,527.25,27.75
,21/02/2024,,6.00,3.50,2.50
2.00,,Paleta cupido vero fresa,6.00,3.50,2.50
,21/02/2024,,11.00,8.20,2.80
1.00,,Concha vainilla 1pz 60g,11.00,8.20,2.80
,21/02/2024,,20.00,16.11,3.89
0.19,,Queso Fresco,20.00,16.11,3.89
,21/02/2024,,15.00,12.69,2.31
0.23,,Jamon Rebanado Suly 1kg,15.00,12.69,2.31
,21/02/2024,,111.00,75.80,35.20
2.00,,Pila Rayovac Doble AA 1pz,22.00,15.80,6.20
1.00,,Pila Rayovac Triple AAA par,22.00,9.74,12.26
2.00,,Totopos 280G Normal,64.00,49.20,14.80
1.00,,Bolsa individual Naylo Gde 1pz,3.00,1.06,1.94
,21/02/2024,,81.00,72.54,8.46
1.00,,CIGARROS MARLBORO ROJO CORTOS 20PZ,81.00,72.54,8.46
,21/02/2024,,72.50,61.78,10.72
0.15,,Jamon Rebanado Suly 1kg,10.00,8.46,1.54
0.50,,Queso De Hebra,62.50,53.32,9.18
,21/02/2024,,17.00,13.69,3.31
1.00,,Sabritas Sal Original 45g,17.00,13.69,3.31
,21/02/2024,,64.00,53.92,10.08
1.00,,Valle Frut Citrus 600ML 330683,16.00,14.92,1.08
6.00,,Yomi Chocolate 190ml,48.00,39.00,9.00
,21/02/2024,,25.00,20.44,4.56
1.00,,Elite Higienico Mediano 300 Hjs,25.00,20.44,4.56
,21/02/2024,,51.00,47.51,3.49
1.00,,Envios De Recargas,1.00,0.01,0.99
50.00,,RECARGAS XTREME (MULTICEL-MINISUPER),50.00,47.50,2.50
,21/02/2024,,132.00,105.04,26.96
1.00,,Frijoles Refritos La Sierra 440g,16.00,11.20,4.80
3.00,,Huevo Crio Individual 1pza,9.00,5.91,3.09
1.00,,Pan Molido Bimbo Clasico 210g,28.00,23.24,4.76
0.46,,Jamon Rebanado Suly 1kg,30.00,25.38,4.62
1.00,,QUESO CASTEL PAQ 10PZA,13.00,9.65,3.35
1.00,,Aceite Purela Soya 800ml,36.00,29.66,6.34
,21/02/2024,,20.00,15.56,4.44
1.00,,chips fuego 62g,20.00,15.56,4.44
,21/02/2024,,22.00,16.81,5.19
1.00,,Harina Selecta 1kg,22.00,16.81,5.19
,21/02/2024,,31.00,21.96,9.04
1.00,,Power Mora 1 Lt,31.00,21.96,9.04
,21/02/2024,,11.00,8.20,2.80
1.00,,Concha vainilla 1pz 60g,11.00,8.20,2.80
,21/02/2024,,48.00,40.35,7.65
0.24,,Queso De Hebra,30.00,25.59,4.41
1.00,,Tortillina Del Hogar 220 g,18.00,14.76,3.24
,21/02/2024,,997.50,976.50,21.00
1050.00,,MASTERXTREME MAYOREO RECARGA,997.50,976.50,21.00
,21/02/2024,,38.00,31.17,6.83
1.00,,Fanta Jumbo Fresa 3lts,38.00,31.17,6.83
,21/02/2024,,997.50,976.50,21.00
1050.00,,MASTERXTREME MAYOREO RECARGA,997.50,976.50,21.00
,21/02/2024,,33.00,28.96,4.04
0.50,,Azucar 1 Kg,13.00,11.17,1.83
1.00,,Nutrileche 1pza,20.00,17.79,2.21
,21/02/2024,,28.00,23.11,4.89
1.00,,Leche Nito Bebida Chocolate 236G,13.00,10.66,2.34
1.00,,Nito 1Pza 62g,15.00,12.45,2.55
,21/02/2024,,17.00,13.69,3.31
1.00,,Doritos Nacho 61gr,17.00,13.69,3.31
,21/02/2024,,26.00,20.58,5.42
1.00,,Jumex Nectar de Uva 1 lt,26.00,20.58,5.42
,21/02/2024,,10.00,8.46,1.54
0.15,,Jamon Rebanado Suly 1kg,10.00,8.46,1.54
,21/02/2024,,22.00,17.54,4.46
1.00,,Leche Clavel 356ml,22.00,17.54,4.46
,21/02/2024,,99.00,77.21,21.79
2.00,,Atun Nair En Agua 140g,30.00,21.58,8.42
1.00,,Elote Herdez 225g,15.00,9.75,5.25
1.00,,Mayonesa #4 105g,18.00,15.90,2.10
1.00,,Saladita 186GM,20.00,16.54,3.46
1.00,,Takis Huakamoles 65g,16.00,13.44,2.56
,21/02/2024,,389.00,319.00,70.00
1.00,,Calculadora Cientifica Casio FX82,389.00,319.00,70.00
,21/02/2024,,33.00,26.50,6.50
1.00,,Barras de Coco 106g 100957,19.00,15.25,3.75
1.00,,Bizcochito Gamesa 150G 100173,14.00,11.25,2.75
,21/02/2024,,16.00,14.26,1.74
1.00,,Envios De Recargas,1.00,0.01,0.99
15.00,,RECARGAS XTREME (MULTICEL-MINISUPER),15.00,14.25,0.75
,22/02/2024,,8.00,5.77,2.23
1.00,,Vogue Higienico De Rollo Ind,8.00,5.77,2.23
,22/02/2024,,20.00,18.14,1.86
0.50,,Frijol Michigan Mustang Kg,20.00,18.14,1.86
,22/02/2024,,17.00,13.69,3.31
1.00,,Doritos Nacho 61gr,17.00,13.69,3.31
,22/02/2024,,33.00,27.56,5.44
0.12,,Queso De Hebra,15.00,12.80,2.20
1.00,,Tortillina Del Hogar 220 g,18.00,14.76,3.24
,22/02/2024,,50.00,41.23,8.77
0.16,,Queso De Hebra,20.00,17.06,2.94
0.28,,Queso Fresco,30.00,24.17,5.83
,22/02/2024,,132.50,112.81,19.69
0.50,,Jamon Rebanado Suly 1kg,32.50,27.50,5.00
0.80,,Queso De Hebra,100.00,85.31,14.69
,22/02/2024,,17.50,14.00,3.50
1.00,,Yoghurt Yoplait Fresa 330g 9112,17.50,14.00,3.50
,22/02/2024,,13.00,9.21,3.79
1.00,,Agua Ciel 1lt 310883,13.00,9.21,3.79
,22/02/2024,,5.00,2.30,2.70
1.00,,Bolsa Basura Mediana 1pza,5.00,2.30,2.70
,22/02/2024,,10.00,8.46,1.54
0.15,,Jamon Rebanado Suly 1kg,10.00,8.46,1.54
,22/02/2024,,4.51,3.11,1.40
0.09,,Salchijocho Pavo Any Agranel,4.51,3.11,1.40
,22/02/2024,,46.00,36.54,9.46
2.00,,Espagueti 200 gr,18.00,13.30,4.70
1.00,,Pan Molido Bimbo Clasico 210g,28.00,23.24,4.76
,22/02/2024,,36.00,29.90,6.10
1.00,,Talco Dos Caras 150gr,36.00,29.90,6.10
,22/02/2024,,84.00,78.00,6.00
2.00,,Epura Garrafon 20 Lts,84.00,78.00,6.00
,22/02/2024,,19.00,11.88,7.12
0.25,,Bolsa Natural 20x30 Para Kg,19.00,11.88,7.12
,22/02/2024,,19.00,6.11,12.89
1.00,,Buscapina Compuesta,19.00,6.11,12.89
,22/02/2024,,17.00,14.00,3.00
1.00,,Queso Crema La Escondida 250g,17.00,14.00,3.00
,22/02/2024,,8.00,5.77,2.23
1.00,,Vogue Higienico De Rollo Ind,8.00,5.77,2.23
,22/02/2024,,15.00,9.85,5.15
5.00,,Huevo Crio Individual 1pza,15.00,9.85,5.15
,22/02/2024,,3.00,1.97,1.03
1.00,,Huevo Crio Individual 1pza,3.00,1.97,1.03
,22/02/2024,,30.00,24.10,5.90
1.00,,Vaso de Unicel 1/2 Lt,30.00,24.10,5.90
,22/02/2024,,5.00,3.17,1.83
1.00,,Fibra Espiral chica,5.00,3.17,1.83
,22/02/2024,,46.00,37.49,8.51
0.24,,Queso De Hebra,30.00,25.59,4.41
1.00,,Salvo Liquido 215ml,16.00,11.90,4.10
,22/02/2024,,22.00,16.47,5.53
1.00,,Blanca Nieves 500g,22.00,16.47,5.53
,22/02/2024,,26.00,19.03,6.97
3.00,,Huevo Crio Individual 1pza,9.00,5.91,3.09
1.00,,Suavicrema De Chocolate 100g,17.00,13.12,3.88
,22/02/2024,,48.00,39.60,8.40
1.00,,Leche Nito Bebida Chocolate 236G,13.00,10.66,2.34
1.00,,Maravillas Gamesa 116g,18.00,15.25,2.75
1.00,,Sabritas Sal Original 45g,17.00,13.69,3.31
,22/02/2024,,140.00,62.00,78.00
1.00,,Memoria USB 8 GB Acer,140.00,62.00,78.00
,22/02/2024,,462.00,446.88,15.12
452.00,,ICSI Pago Servicio TMAC,452.00,442.96,9.04
1.00,,Icsi Comision Servicio TMAC 1-500,10.00,3.92,6.08
,22/02/2024,,38.00,31.04,6.96
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
,22/02/2024,,10.00,7.08,2.92
1.00,,Valle Frut Citrus 355 ml 342198,10.00,7.08,2.92
,22/02/2024,,7.00,5.63,1.37
1.00,,Clarasol 500ml,7.00,5.63,1.37
,22/02/2024,,28.00,20.00,8.00
1.00,,Nescafe Clasico Black 40gr,28.00,20.00,8.00
,22/02/2024,,50.00,45.58,4.42
2.00,,Lala deslactosada 1lit,50.00,45.58,4.42
,22/02/2024,,29.50,25.37,4.13
1.00,,Arroz 1kg,19.50,18.07,1.43
1.00,,Chicharo Herdez 215GR,10.00,7.30,2.70
,22/02/2024,,68.00,56.63,11.37
1.00,,Coca Retornable 3LTS 3068,38.00,31.04,6.96
0.24,,Queso De Hebra,30.00,25.59,4.41
,22/02/2024,,42.00,36.32,5.68
1.00,,HUEVO CRIO 1/2 CONO,32.00,29.58,2.42
1.00,,NORSUIZA CAJITA 2PZA,5.00,3.48,1.52
1.00,,NORTOMATE CAJA 2PZ,5.00,3.26,1.74
,22/02/2024,,67.50,54.86,12.64
1.00,,Mediacrema Nestle lata 225g,17.50,14.58,2.92
0.46,,Queso Fresco,50.00,40.28,9.72
,22/02/2024,,17.00,13.77,3.23
0.14,,Queso Fresco,15.00,12.08,2.92
1.00,,Bubbaloo Pik Pop Piña Chamoy 1pz,2.00,1.69,0.31
,22/02/2024,,128.00,118.32,9.68
2.00,,HUEVO CRIO CONO 30PZ,128.00,118.32,9.68
,22/02/2024,,12.00,9.84,2.16
2.00,,Crossantines 32g,12.00,9.84,2.16
,22/02/2024,,19.00,15.20,3.80
1.00,,Coca Cola 600ml,19.00,15.20,3.80
,22/02/2024,,140.50,97.00,43.50
