Documento,Cantidad,Fecha,Producto,Precio,Total
PZA,1,,Tortillina Tia Rosa 22pz 561gr,38,38
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
Ticket,,01/03/2024,,,
PZA,1,,Horchata Flor De Tabasco 1 lt,42,42
Ticket,,01/03/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,999.6
Ticket,,01/03/2024,,,
PZA,1,,Huevo Crio Individual 1pza,3,3
Ticket,,01/03/2024,,,
PZA,0.12,,Queso De Hebra,125,15
PZA,1,,Cremax De Nieve Chocolate 90g 065600,19,19
PZA,1,,Tortillina Tia Rosa 306g,25,25
Ticket,,01/03/2024,,,
PZA,1,,Chocomilk Sobre 22g,6,6
Ticket,,01/03/2024,,,
PZA,1,,Amper Predator 473ml,18,18
Ticket,,01/03/2024,,,
,,,,,
PZA,525,,MASTERXTREME MAYOREO RECARGA,0.95,499.8
Ticket,,01/03/2024,,,
PZA,1,,Doritos Flamin Hot 62gm,17,17
Ticket,,01/03/2024,,,
PZA,1,,Coca Cola 600ml,19,19
Ticket,,01/03/2024,,,
PZA,1,,Coca Lata 355ml,20,20
Ticket,,01/03/2024,,,
PZA,5,,Vaso Individual del #8 1pza,1,5
PZA,1,,Fanta Jumbo Naranja 3lts,38,38
Ticket,,01/03/2024,,,
PZA,1,,Valle Frut Citrus 3lt,36,36
Ticket,,01/03/2024,,,
PZA,2,,Bolsa individual Naylo Gde 1pz,3,6
Ticket,,01/03/2024,,,
PZA,0.5,,Arroz 1kg,21,10.5
PZA,1,,Patrona 500 ml,24,24
PZA,6,,Huevo Crio Individual 1pza,3,18
Ticket,,01/03/2024,,,
PZA,1,,Vuala Chocolate 1pza,17,17
Ticket,,01/03/2024,,,
PZA,1,,Foco Chiyoda 100w,20,20
Ticket,,01/03/2024,,,
PZA,1,,Encendedor Tokay 1pza,13,13
Ticket,,01/03/2024,,,
PZA,1,,Sidral Munded Jumbo 3 Lts,38,38
PZA,3,,Suavel Servitoallas de Papel,14,42
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,01/03/2024,,,
PZA,1,,Doritos 3D Nacho 50gr,17,17
Ticket,,01/03/2024,,,
PZA,1,,Donas 6p Bimbo 158g,22,22
PZA,2,,Vaso Individual del #8 1pza,1,2
PZA,1,,coca cola 1.350 ml,28,28
Ticket,,01/03/2024,,,
PZA,1,,Toallitas Humedas Absorsec 90 Pzas,25,25
Ticket,,01/03/2024,,,
PZA,1,,Patrona 500 ml,24,24
,,,,,
Ticket,,01/03/2024,,,
PZA,1,,Caracol Chico #1,8.5,8.5
Ticket,,01/03/2024,,,
PZA,1,,Copias Tamaño Carta (hojas Blancas Individual),1.5,1.5
PZA,1,,DESCARGA CURP,10,10
Ticket,,01/03/2024,,,
PZA,1,,Big Mix 75g,16,16
Ticket,,01/03/2024,,,
PZA,1,,Churrumais Flamas 60gr,13,13
Ticket,,01/03/2024,,,
PZA,1,,Yogurth Yoplait Fresa 470gr 9757,23,23
Ticket,,01/03/2024,,,
PZA,2,,Bombon Individual,1,2
Ticket,,01/03/2024,,,
PZA,1,,COCA COLA 600ML PAQ 12PZA,191,191
Ticket,,01/03/2024,,,
PZA,1,,VASO PLASTICO JAGUAR #8 PAQ 50PZ,31,31
PZA,2,,Coca Jumbo 3lts 4745,50,100
PZA,1,,Fresca Jumbo 3lts,38,38
Ticket,,01/03/2024,,,
PZA,1,,Fibra Scotch Brite Gigante,20,20
Ticket,,01/03/2024,,,
PZA,3,,Vaso Individual del #8 1pza,1,3
Ticket,,01/03/2024,,,
PZA,2,,Vaso Individual del #8 1pza,1,2
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
Ticket,,01/03/2024,,,
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,01/03/2024,,,
PZA,1,,Donas 6p Bimbo 158g,22,22
Ticket,,01/03/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
Ticket,,01/03/2024,,,
PZA,1,,Danone Cereal Chocolate 142g,12,12
Ticket,,01/03/2024,,,
PZA,2,,Jamaica bolsa 100gr,21,42
Ticket,,01/03/2024,,,
PZA,4,,IMPRESION A COLORES,4,16
,,,,,
Ticket,,01/03/2024,,,
PZA,1,,Pan Molido Bimbo Clasico 210g,28,28
Ticket,,01/03/2024,,,
PZA,1,,Yakult 80ml,10,10
Ticket,,01/03/2024,,,
PZA,0.08,,Queso De Hebra,125,10
PZA,1,,NORSUIZA CAJITA 2PZA,5,5
Ticket,,01/03/2024,,,
PZA,1,,NORSUIZA CAJITA 2PZA,5,5
Ticket,,01/03/2024,,,
PZA,1,,Salsa Valentina 370g,19,19
PZA,1,,Big Mix 75g,16,16
Ticket,,01/03/2024,,,
PZA,1,,Churrumais Flamas 60gr,13,13
Ticket,,01/03/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
PZA,1,,Mediacrema Lala 250g,14,14
Ticket,,01/03/2024,,,
PZA,1,,Cheetos Bolita Hornedo 42g,14,14
PZA,1,,Valle Frut Citrus 600ML 330683,16,16
Ticket,,01/03/2024,,,
PZA,2,,Servicio Domicilio,5,10
PZA,1,,PEPSI 3LTS PAQ 8PZ,250,250
PZA,6,,HUEVO CRIO CONO 30PZ,64.5,387
Ticket,,01/03/2024,,,
PZA,1,,Pepsi Jumbo 3Lt,37,37
Ticket,,01/03/2024,,,
PZA,1,,Gel Ego Atraction,17,17
Ticket,,01/03/2024,,,
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Nectar Valle Mango Minibrick 250ml,12,12
Ticket,,01/03/2024,,,
PZA,0.5,,Frijol Michigan Mustang Kg,40,20
PZA,1,,Pepsi 1.5Lt,23,23
Ticket,,01/03/2024,,,
PZA,1,,Activia Ciruela Pasa 250g,16,16
Ticket,,01/03/2024,,,
,,,,,
PZA,1,,Coca Retornable 3LTS 3068,38,38
PZA,1,,Importe Botella,10,10
PZA,2,,Yoplait Fresa Vaso 120g,7,14
Ticket,,01/03/2024,,,
PZA,1,,COMISION SERVICIOS 1-500 ( MULTI-SUSI ),10,10
PZA,250,,PAGO SERVICIOS XTREME MULTIPAGOS,1,250.25
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,01/03/2024,,,
PZA,2,,Aspirina Efervescente C/U,6,12
PZA,2,,Cheetos Poff Azules 41gr,14,28
Ticket,,01/03/2024,,,
PZA,1,,Agua Ciel  Mineralizada 600ml 308248,18,18
Ticket,,01/03/2024,,,
PZA,2,,Vuala Chocolate 1pza,18.06,36.13
PZA,0.28,,Queso Fresco,108,30
Ticket,,01/03/2024,,,
PZA,2,,Bombon Individual,1,2
Ticket,,01/03/2024,,,
PZA,1,,Cacahuate Karate 123g,18,18
PZA,3,,Ego Frutas omnilife lata 355ml,45,135
Ticket,,01/03/2024,,,
PZA,1,,Queso philadelphia 90gr 8628,26,26
Ticket,,01/03/2024,,,
PZA,0.61,,Salchijocho Pavo Any Agranel,49,30
Ticket,,01/03/2024,,,
PZA,6,,Alkaseltzer C/U,5,30
Ticket,,01/03/2024,,,
PZA,1,,Churrumais mas producto 60gr,14,14
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,01/03/2024,,,
PZA,1,,Ruffles Sal Original 52gr,17,17
Ticket,,01/03/2024,,,
PZA,1,,Bolsa Individual Polipapel Gde 1pza,2,2
PZA,1,,Chocoroles Piña  2p 80G,21,21
PZA,1,,Yoghurt Yoplait Piña Coco 330gr 9111,18,18
Ticket,,01/03/2024,,,
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
Ticket,,01/03/2024,,,
,,,,,
PZA,1,,Jabon Neustroskin 140gr,15,15
Ticket,,01/03/2024,,,
PZA,1,,Vive 100 Guarana 300ml,14,14
Ticket,,01/03/2024,,,
PZA,1,,Coca Cola 400ml,14,14
Ticket,,01/03/2024,,,
PZA,1,,Cloralex 950ml,16,16
PZA,1,,Ruffles Mega Crunch Salsa Rojo 55gr,17,17
PZA,1,,Nito 1Pza 62g,15,15
PZA,1,,Coca Cola 600ml,19,19
Ticket,,01/03/2024,,,
PZA,1,,Takis Fuego Mas Picante 65g,17,17
PZA,1,,Cheetos Bolita Hornedo 42g,14,14
PZA,1,,Queso Crema La Escondida 250g,17,17
Ticket,,01/03/2024,,,
PZA,0.32,,Queso De Hebra,125,40
Ticket,,01/03/2024,,,
PZA,1,,Mediacrema Lala 480ml,26,26
PZA,0.5,,Queso Fresco,108,54
Ticket,,01/03/2024,,,
PZA,1,,Leche Hersheys chocolate 200ml,15,15
PZA,1,,Bizcochito Gamesa 150G 100173,14,14
Ticket,,01/03/2024,,,
PZA,1,,Takis Fuego Mas Picante 65g,17,17
PZA,1,,Bubbaloo Paleta Xtreme Fresa 1Pz,5,5
PZA,1,,Yomi Chocolate 190ml,11,11
Ticket,,01/03/2024,,,
PZA,1,,Carlos V 18g,10,10
Ticket,,01/03/2024,,,
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
PZA,0.41,,Salchijocho Pavo Any Agranel,49,20
PZA,0.28,,Queso Fresco,108,30
Ticket,,01/03/2024,,,
PZA,1,,Yomi Chocolate 190ml,11,11
PZA,1,,Gansito Black 50g,17,17
Ticket,,01/03/2024,,,
PZA,1,,Ruffles Mega Crunch Jalapeño 50g,17,17
Ticket,,01/03/2024,,,
,,,,,
PZA,2,,Clorets Menta 2.8gr 2Pastillas,1.5,3
Ticket,,01/03/2024,,,
PZA,1,,Mamut 44g 513700,10,10
PZA,1,,Ruffles Queso 52g,17,17
Ticket,,01/03/2024,,,
PZA,1,,Chivacola Botella Omnilife 600ml,17.5,17.5
PZA,1,,Coca Cola 600ml,19,19
Ticket,,01/03/2024,,,
PZA,1,,Ruffles Sal Original 52gr,17,17
Ticket,,01/03/2024,,,
PZA,2,,Servicio Domicilio,5,10
PZA,2,,COCA COLA 2.5LT RET PAQ 8PZ,245,490
Ticket,,01/03/2024,,,
PZA,1,,Fresca Jumbo 3lts,38,38
Ticket,,01/03/2024,,,
PZA,3,,Cigarro Marlboro Individual 1Pza,6,18
Ticket,,01/03/2024,,,
PZA,1,,Servicio Domicilio,5,5
PZA,1,,COCA RETORNABLE 3LTS PAQ 6PZA,197,197
Ticket,,01/03/2024,,,
PZA,0.38,,Jamon Rebanado Suly 1kg,65,25
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,3,,Envios De Recargas,1,3
PZA,180,,RECARGAS XTREME (MULTICEL-MINISUPER),1,179.55
Ticket,,01/03/2024,,,
PZA,2,,Flanax 550 C/Uno,13,26
Ticket,,01/03/2024,,,
PZA,0.61,,Salchijocho Pavo Any Agranel,49,30
Ticket,,01/03/2024,,,
PZA,1,,Pepsi 600 Ml,17,17
PZA,1,,Submarino De Fresa 140g,22,22
Ticket,,01/03/2024,,,
PZA,1,,Coca Jumbo 3lts 4745,50,50
Ticket,,01/03/2024,,,
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Mayonesa #4 105g,18,18
,,,,,
PZA,1,,Salsa Catsup 340gr Botella Plastico,20,20
Ticket,,01/03/2024,,,
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,01/03/2024,,,
PZA,10,,Vaso Individual del #8 1pza,1,10
Ticket,,01/03/2024,,,
PZA,0.28,,Queso Fresco,108,30
Ticket,,01/03/2024,,,
PZA,3,,Paleta Cupido Chamoy Individual 1pz,2,6
PZA,1,,Emperador Piruetas 115g 101112,19,19
PZA,3,,Cigarro Marlboro Individual 1Pza,6,18
Ticket,,01/03/2024,,,
PZA,1,,Encendedor Tokay 1pza,13,13
Ticket,,01/03/2024,,,
PZA,1,,Pepsi 400 Ml,12,12
Ticket,,01/03/2024,,,
PZA,3,,Maxair Menta 2.8gr 2pastillas,1.5,4.5
Ticket,,01/03/2024,,,
PZA,1,,yoplait fresa 900g,39,39
Ticket,,01/03/2024,,,
PZA,1,,Bolsa Individual Polipapel Gde 1pza,2,2
Ticket,,01/03/2024,,,
PZA,2625,,MASTER TMAC MAYOREO RECARGA,0.95,2500.05
Ticket,,01/03/2024,,,
PZA,1,,Bolsa Basura Mediana 1pza,5,5
PZA,1,,Doritos 3D Nacho 50gr,17,17
PZA,1,,Crujitos Queso Chile 42gr,15,15
Ticket,,01/03/2024,,,
PZA,0.5,,Queso De Hebra,125,62.5
Ticket,,01/03/2024,,,
PZA,1,,Prestobarba Guillette Ultragrip 2Hj,15,15
PZA,1,,Wapas queso 52gr,17,17
PZA,1,,Fritos Sal Y Limon 60g,15,15
PZA,1,,Alpura Chocolate 200ml Chocopower,11,11
PZA,1,,Leche Hersheys chocolate 200ml,15,15
Ticket,,01/03/2024,,,
PZA,2,,Flan Yoplait 100G 9709,8.5,17
Ticket,,01/03/2024,,,
,,,,,
PZA,1,,Sabritas Adobadas 42gm,17,17
PZA,1,,Sabritas Sal Original 45g,17,17
Ticket,,01/03/2024,,,
PZA,0.24,,Queso De Hebra,125,30
Ticket,,01/03/2024,,,
PZA,1,,Coca Cola 600ml,19,19
Ticket,,01/03/2024,,,
PZA,1,,IMPRESION A COLORES,4,4
Ticket,,01/03/2024,,,
PZA,1,,Takis Salsa Brava 68g,16,16
PZA,1,,Predator energy 473ml,18,18
PZA,1,,Valle Frut Citrus 600ML 330683,16,16
Ticket,,01/03/2024,,,
PZA,0.24,,Queso De Hebra,125,30
Ticket,,01/03/2024,,,
PZA,1,,Epura 1.5 lt,17,17
Ticket,,01/03/2024,,,
PZA,1,,Pop Karameladas 45 g,10,10
Ticket,,01/03/2024,,,
PZA,1,,Cigarro Marlboro Individual 1Pza,6,6
Ticket,,01/03/2024,,,
PZA,1,,Chips Jalapeño 170g,51,51
Ticket,,01/03/2024,,,
PZA,3,,Sopa Maruchan Camaron Habanero,16,48
Ticket,,01/03/2024,,,
PZA,1,,Ruffles Queso 52g,17,17
PZA,1,,Milky Way 52g,16,16
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,01/03/2024,,,
PZA,1,,Resistol Bully 55g,17,17
Ticket,,01/03/2024,,,
PZA,1,,Raidolito Verde 1par pza Indiv.,5,5
PZA,1,,Tortillina Tia Rosa 22pz 561gr,38,38
Ticket,,01/03/2024,,,
PZA,0.16,,Queso De Hebra,125,20
Ticket,,01/03/2024,,,
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
,,,,,
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Valle Frut Citrus 2 Litros 330461,30,30
Ticket,,01/03/2024,,,
PZA,1,,Cheetos Bolita Hornedo 42g,14,14
PZA,1,,Takis Fuego Mas Picante 65g,17,17
Ticket,,01/03/2024,,,
PZA,1,,YOMI DE FRESA FRIA 1LT,31,31
PZA,1,,Power Frutas 1 Lt 317660,31,31
Ticket,,01/03/2024,,,
PZA,1,,Mediacrema Nestle lata 225g,17.5,17.5
PZA,2,,Alkaseltzer C/U,5,10
Ticket,,01/03/2024,,,
PZA,4,,Pila Duracel Doble AA,23,92
Ticket,,01/03/2024,,,
PZA,1,,Aceite Palmolive 115ml,48,48
Ticket,,01/03/2024,,,
PZA,1,,Chip29 Telcel Sin Saldo Activar C/50 Saldo,29,29
Ticket,,01/03/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,999.6
Ticket,,01/03/2024,,,
PZA,2,,Vela Larga Individual San Pedro 1pz,6,12
Ticket,,01/03/2024,,,
PZA,4,,Maizena Chocolate,11,44
PZA,1,,Nutrileche 1pza,20,20
Ticket,,01/03/2024,,,
PZA,3,,Envios De Recargas,1,3
PZA,65,,RECARGAS XTREME (MULTICEL-MINISUPER),1,64.84
Ticket,,01/03/2024,,,
PZA,1,,Saba Protectores Manzanilla 14pzas,16,16
Ticket,,01/03/2024,,,
PZA,1,,Churrumais Flamas 60gr,13,13
PZA,1,,Takis Fuego Mas Picante 65g,17,17
PZA,1,,Crujitos Queso Chile 42gr,15,15
Ticket,,01/03/2024,,,
PZA,1,,Agua Ciel  Mineralizada 600ml 308248,18,18
Ticket,,01/03/2024,,,
PZA,1,,Sidral mundet fresa kiwi 2 lts,30,30
,,,,,
PZA,1,,Agua Ciel  Mineralizada 600ml 308248,18,18
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Bolsa Individual Polipapel Gde 1pza,2,2
Ticket,,01/03/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
Ticket,,01/03/2024,,,
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,2,,Canela Sobre,6,12
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Pancrema 151g,13,13
Ticket,,01/03/2024,,,
PZA,2,,Cafezzino Plus (cafe Omnilife) sobre,18,36
Ticket,,01/03/2024,,,
PZA,1,,Takis Blue Heat 65g,17,17
Ticket,,01/03/2024,,,
PZA,1,,Lala deslactosada 1lit,24,24
Ticket,,01/03/2024,,,
PZA,1,,Tapa Para Vaso Termico 2lt C/10pzas,25,25
Ticket,,01/03/2024,,,
PZA,1,,Envios De Recargas,1,1
PZA,100,,RECARGAS XTREME (MULTICEL-MINISUPER),1,99.75
Ticket,,01/03/2024,,,
PZA,1,,Agua Ciel 1lt 310883,13,13
Ticket,,01/03/2024,,,
PZA,1,,Sabritas Sal Original 45g,17,17
Ticket,,01/03/2024,,,
PZA,5,,Huevo Crio Individual 1pza,3,15
PZA,1,,Doritos Nacho 61gr,17,17
Ticket,,01/03/2024,,,
PZA,650,,ICSI Recargas Xtreme,1,650
PZA,10,,Envios De Recargas,1,10
Ticket,,01/03/2024,,,
PZA,1,,Jamon Americano Pavo 196g 2364,39,39
Ticket,,01/03/2024,,,
PZA,1,,H24 Citronox 372gr,70,70
,,,,,
Ticket,,01/03/2024,,,
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
Ticket,,01/03/2024,,,
PZA,1,,Nescafe Clasico 42g,33,33
PZA,1,,Salvo Liquido 215ml,16,16
Ticket,,01/03/2024,,,
PZA,1,,XL-3 Extra Gripa y tos Par,12,12
Ticket,,01/03/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,999.6
Ticket,,01/03/2024,,,
PZA,1,,Bolsa Basura Mediana 1pza,5,5
Ticket,,01/03/2024,,,
PZA,1,,Nescafe Dolca 22gr Sobre Grande,14.5,14.5
Ticket,,01/03/2024,,,
PZA,1,,Coca Retornable 2.5 Lts,35,35
Ticket,,01/03/2024,,,
PZA,1,,Clorets Plus 4pastillas,3,3
Ticket,,01/03/2024,,,
PZA,1,,Papel China Varios Colores,4,4
PZA,1,,Regalo Mediano Dama,20,20
Ticket,,01/03/2024,,,
PZA,1,,Yakult 80ml,10,10
Ticket,,01/03/2024,,,
PZA,1,,Sopa Nissin camaron C/Habanero,15,15
Ticket,,01/03/2024,,,
PZA,1,,Emperador Piruetas 115g 101112,19,19
Ticket,,01/03/2024,,,
PZA,1,,Barrita Piña Mas Grande,17,17
Ticket,,02/03/2024,,,
PZA,1,,Bolsa Basura Grande 1pza,9,9
Ticket,,02/03/2024,,,
PZA,1,,Agua Ciel Mineralizada 2 Lts 305742,27,27
Ticket,,02/03/2024,,,
PZA,0.24,,Queso De Hebra,125,30
Ticket,,02/03/2024,,,
PZA,1,,Cigarro Marlboro Individual 1Pza,6,6
Ticket,,02/03/2024,,,
PZA,1,,Peñafiel Agua Mineralizada 600,17,17
,,,,,
Ticket,,02/03/2024,,,
PZA,1,,Halls Sabor Mora Azul,8,8
Ticket,,02/03/2024,,,
PZA,1,,Cubreboca Kn95,10,10
Ticket,,02/03/2024,,,
PZA,1,,Marias Azucaradas 150gr,18,18
Ticket,,02/03/2024,,,
PZA,1,,Mayonesa #4 105g,18,18
PZA,0.19,,Queso Fresco,108,20
Ticket,,02/03/2024,,,
PZA,1,,Bubbaloo Fresa 5.1gr,1.5,1.5
PZA,1,,Clorets Menta 2.8gr 2Pastillas,1.5,1.5
PZA,1,,Curita Adheciba $3.00Par,3,3
Ticket,,02/03/2024,,,
PZA,1,,Bubbaloo Mora Azul 5.1gr,1.5,1.5
PZA,1,,Halls Sabor Mora Azul,8,8
Ticket,,02/03/2024,,,
PZA,2,,Yakult 80ml,10,20
Ticket,,02/03/2024,,,
PZA,1,,Sabritas Sal Original 45g,17,17
Ticket,,02/03/2024,,,
PZA,1050,,MASTERXTREME MAYOREO RECARGA,0.95,999.6
Ticket,,02/03/2024,,,
PZA,1,,Fresca Jumbo 3lts,38,38
Ticket,,02/03/2024,,,
PZA,1,,Chip29 Telcel Sin Saldo Activar C/50 Saldo,29,29
Ticket,,02/03/2024,,,
PZA,0.28,,Queso Fresco,108,30
Ticket,,02/03/2024,,,
PZA,0.28,,Queso Fresco,108,30
Ticket,,02/03/2024,,,
PZA,1,,Sidral Munded Jumbo 3 Lts,38,38
PZA,1,,Coca Retornable 2.5 Lts,35,35
Ticket,,02/03/2024,,,
PZA,1,,Valle Frut Citrus 2 Litros 330461,30,30
Ticket,,02/03/2024,,,
PZA,6,,Salsa Catsup 220gr Botella Plastico,12,72
PZA,1,,Pure Tomate Del Fuerte 1Kg,33,33
,,,,,
Ticket,,02/03/2024,,,
PZA,1,,COCA RETORNABLE 3LTS PAQ 6PZA,197,197
Ticket,,02/03/2024,,,
PZA,1,,Clorets Menta 2.8gr 2Pastillas,1.5,1.5
PZA,1,,Cerillo Clasico Individual,3.5,3.5
Ticket,,02/03/2024,,,
PZA,2,,Lala deslactosada 1lit,24,48
Ticket,,02/03/2024,,,
PZA,1,,Coca Retornable 3LTS 3068,38,38
Ticket,,02/03/2024,,,
PZA,0.19,,Queso Fresco,108,20
Ticket,,02/03/2024,,,
PZA,1,,Clorets Menta 2.8gr 2Pastillas,1.5,1.5
Ticket,,02/03/2024,,,
PZA,1,,Chip29 Telcel Sin Saldo Activar C/50 Saldo,29,29
Ticket,,02/03/2024,,,
PZA,1,,Yoghurt Yoplait Durazno 330gr 9261,17.5,17.5
PZA,1,,Yoghurt Yoplait Fresa 330g 9112,17.5,17.5
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
Ticket,,02/03/2024,,,
PZA,1,,Pepsi Jumbo 3Lt,37,37
Ticket,,02/03/2024,,,
PZA,0.19,,Queso Fresco,108,20
Ticket,,02/03/2024,,,
PZA,4,,Bolsa individual Naylo Gde 1pz,3,12
Ticket,,02/03/2024,,,
PZA,1,,Axion 720gr,29,29
Ticket,,02/03/2024,,,
PZA,1,,NORSUIZA CAJITA 2PZA,5,5
PZA,0.23,,Queso Fresco,108,25
Ticket,,02/03/2024,,,
PZA,1,,PEPSI 3LTS PAQ 8PZ,250,250
Ticket,,02/03/2024,,,
PZA,1,,Disfruta Chocogalleta Platano 307g,22,22
PZA,0.56,,Queso De Hebra,125,70
Ticket,,02/03/2024,,,
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
Ticket,,02/03/2024,,,
,,,,,
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
Ticket,,02/03/2024,,,
PZA,4,,Clorets Menta 2.8gr 2Pastillas,1.5,6
Ticket,,02/03/2024,,,
PZA,0.36,,Queso De Hebra,125,45
Ticket,,02/03/2024,,,
PZA,2,,XL-3 Extra Gripa y tos Par,12,24
Ticket,,02/03/2024,,,
PZA,6,,HUEVO CRIO CONO 30PZ,64.5,387
Ticket,,02/03/2024,,,
PZA,1,,Chocomilk Sobre 160g,27,27
PZA,1,,Epura Garrafon 20 Lts,42,42
Ticket,,02/03/2024,,,
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
Ticket,,02/03/2024,,,
PZA,1,,Yoghurt Yoplait Fresa 220g 9140,14,14
Ticket,,02/03/2024,,,
PZA,1,,Cable USB2.0 V8 1HORA,50,50
Ticket,,02/03/2024,,,
PZA,1,,Jarrito 3lts Sabores Surtidos,35,35
Ticket,,02/03/2024,,,
PZA,1,,QUESO CREMA 1 BARRA,53,53
Ticket,,02/03/2024,,,
PZA,1,,Canelitas Marinela 120g,21,21
PZA,0.19,,Queso Fresco,108,20
Ticket,,02/03/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
PZA,1,,Mediacrema Lala 250g,14,14
Ticket,,02/03/2024,,,
PZA,1,,COCA RETORNABLE 3LTS PAQ 6PZA,197,197
Ticket,,02/03/2024,,,
PZA,1,,Coca Cola 400ml,14,14
PZA,1,,Nito 1Pza 62g,15,15
Ticket,,02/03/2024,,,
PZA,0.8,,Queso De Hebra,125,100
Ticket,,02/03/2024,,,
PZA,1,,Coca Cola 600ml,19,19
Ticket,,02/03/2024,,,
,,,,,
PZA,1,,Fanta Uva 3lt,38,38
Ticket,,02/03/2024,,,
PZA,1,,Doritos Nacho 61gr,17,17
Ticket,,02/03/2024,,,
PZA,2,,Jabon Leon Alto Poder 350gr,20,40
PZA,1,,HUEVO CRIO 1/2 CONO,33,33
PZA,1,,Jamaica bolsa 100gr,21,21
PZA,1,,Salchijocho Pavo Any Agranel,48,48
Ticket,,02/03/2024,,,
PZA,1,,Valle Frut Citrus 355 ml 342198,10,10
PZA,1,,Pure Tomate Del Fuerte 1Kg,33,33
PZA,2,,Mantequilla Primavera Barra,22,44
Ticket,,02/03/2024,,,
PZA,1,,HUEVO CRIO CONO 30PZ,65.5,65.5
Ticket,,02/03/2024,,,
PZA,1,,Queso Crema La Escondida 250g,17,17
Ticket,,02/03/2024,,,
PZA,6,,Clorets Menta 2.8gr 2Pastillas,1.5,9
Ticket,,02/03/2024,,,
PZA,1,,Activia Papaya Y Cereales 225gr,17,17
PZA,1,,Doritos Pizzerolas 61g,17,17
Ticket,,02/03/2024,,,
PZA,1,,Moño Magico Boda Mediano,5,5
PZA,1,,Papel De Regalo Para Boda,8,8
PZA,2,,Bateria Tianqui CR2032,20,40
Ticket,,02/03/2024,,,
PZA,1,,Sidral Mundet Pera 2L,30,30
Ticket,,02/03/2024,,,
PZA,1,,Churrumais Flamas 60gr,13,13
Ticket,,02/03/2024,,,
PZA,2,,Papatinas  Chilix 31g,16,32
Ticket,,02/03/2024,,,
PZA,1,,HUEVO CRIO CONO 30PZ,65.5,65.5
Ticket,,02/03/2024,,,
PZA,1,,Patrona 500 ml,24,24
PZA,1,,Yoghurt Licuado Manzana Y Granola 470g 9422,25,25
PZA,1,,Yoplait Licuado De Fresa 470gm 9534,24,24
PZA,1,,Yoghurt Yoplait Fresa 330g 9112,17.5,17.5
,,,,,
PZA,1,,Yogurth Yoplait Fresa 470gr 9757,23,23
PZA,0.93,,Queso Fresco,108,100
Ticket,,02/03/2024,,,
PZA,1,,Barrita Piña Mas Grande,17,17
PZA,1,,Coca Cola 400ml,14,14
Ticket,,02/03/2024,,,
PZA,0.4,,Queso De Hebra,125,50
Ticket,,02/03/2024,,,
PZA,1,,Sabritas Sal Original 45g,17,17
Ticket,,02/03/2024,,,
PZA,3,,Trident Mora Azul 4 past,3,9
Ticket,,02/03/2024,,,
PZA,2,,Coca Retornable 2.5 Lts,35,70
Ticket,,02/03/2024,,,
PZA,1,,Lechita Liconsa Plus 250ml,5,5
Ticket,,02/03/2024,,,
PZA,2,,Bolsa Basura Grande 1pza,9,18
PZA,1,,Ariel Oxiazul 250gm,14,14
PZA,1,,Queso philadelphia 90gr 8628,26,26
Ticket,,02/03/2024,,,
PZA,1,,Icsi Comision Servicio TMAC 1-500,10,10
PZA,289,,ICSI Pago Servicio TMAC,1,289
Ticket,,02/03/2024,,,
PZA,1,,Coca Cola Vidrio 1 1/4,24,24
